Time,E,H,I,R,S
0,135,0,9,0,9856
0.00982352,134,0,10,0,9856
0.0563592,135,0,10,0,9855
0.0891622,134,0,11,0,9855
0.199406,133,0,12,0,9855
0.264739,133,0,11,1,9855
0.290637,132,0,12,1,9855
0.305935,131,0,13,1,9855
0.375269,131,0,12,2,9855
0.481551,130,0,13,2,9855
0.488405,129,0,14,2,9855
0.52469,129,0,13,3,9855
0.561671,128,0,14,3,9855
0.56331,127,0,15,3,9855
0.571958,127,0,14,4,9855
0.582563,126,0,15,4,9855
0.595608,125,0,16,4,9855
0.642092,126,0,16,4,9854
0.647404,125,0,17,4,9854
0.652625,124,0,18,4,9854
0.688608,124,0,17,5,9854
0.692506,123,0,18,5,9854
0.769459,122,0,19,5,9854
0.785159,121,0,20,5,9854
0.786696,120,0,21,5,9854
0.788916,121,0,21,5,9853
0.78997,120,0,22,5,9853
0.81615,119,0,23,5,9853
0.829261,119,0,22,6,9853
0.868588,120,0,22,6,9852
0.904212,119,0,23,6,9852
0.90765,118,0,24,6,9852
0.911998,119,0,24,6,9851
0.91403,120,0,24,6,9850
0.917404,120,0,23,7,9850
0.922368,120,0,22,8,9850
0.952856,121,0,22,8,9849
0.953682,122,0,22,8,9848
0.97965,121,0,23,8,9848
0.98487,120,0,24,8,9848
1.00006,119,0,25,8,9848
1.00715,118,0,26,8,9848
1.00716,117,0,27,8,9848
1.00773,118,0,27,8,9847
1.03524,118,0,26,9,9847
1.05217,119,0,26,9,9846
1.06949,120,0,26,9,9845
1.07661,121,0,26,9,9844
1.08117,121,0,25,10,9844
1.08415,121,0,24,11,9844
1.10757,121,0,23,12,9844
1.11701,122,0,23,12,9843
1.15527,122,0,22,13,9843
1.18321,121,0,23,13,9843
1.18783,122,0,23,13,9842
1.20775,123,0,23,13,9841
1.21972,124,0,23,13,9840
1.24445,123,0,24,13,9840
1.24914,124,0,24,13,9839
1.25491,123,0,25,13,9839
1.2708,122,0,26,13,9839
1.27519,121,0,27,13,9839
1.29687,122,0,27,13,9838
1.29817,121,0,28,13,9838
1.30273,122,0,28,13,9837
1.31112,121,0,29,13,9837
1.34793,120,0,30,13,9837
1.36203,119,0,31,13,9837
1.37167,118,0,32,13,9837
1.37522,119,0,32,13,9836
1.38478,118,0,33,13,9836
1.40609,119,0,33,13,9835
1.42014,119,0,32,14,9835
1.45565,118,0,33,14,9835
1.49866,117,0,34,14,9835
1.50867,118,0,34,14,9834
1.51902,119,0,34,14,9833
1.52178,120,0,34,14,9832
1.53976,119,0,35,14,9832
1.59369,120,0,35,14,9831
1.67317,121,0,35,14,9830
1.69102,120,0,36,14,9830
1.71403,121,0,36,14,9829
1.7429,121,0,35,15,9829
1.76217,120,0,36,15,9829
1.78281,121,0,36,15,9828
1.81159,122,0,36,15,9827
1.82724,122,0,35,16,9827
1.85226,123,0,35,16,9826
1.86025,122,0,36,16,9826
1.86264,121,0,37,16,9826
1.87283,121,0,36,17,9826
1.88699,121,0,35,18,9826
1.88767,120,0,36,18,9826
1.91503,119,0,37,18,9826
1.92274,120,0,37,18,9825
1.92963,119,0,38,18,9825
1.94548,119,0,37,19,9825
1.95036,120,0,37,19,9824
1.98866,121,0,37,19,9823
1.98907,121,0,36,20,9823
1.99017,120,0,37,20,9823
2.00195,119,0,38,20,9823
2.0032,119,0,37,21,9823
2.02145,120,0,37,21,9822
2.05412,119,0,38,21,9822
2.05464,119,0,37,22,9822
2.06593,120,0,37,22,9821
2.06636,120,0,36,23,9821
2.07018,119,0,37,23,9821
2.07955,120,0,37,23,9820
2.08402,119,0,38,23,9820
2.0967,118,0,39,23,9820
